_id,Collection_date,forcens_lat,forcens_long,ind_area,ind_area_log,ind_diam,IRN,Lat_decimal,Long_decimal,num_neighb_300km,ocean,pp_value,rel_abund_median_300km,rel_abund_nearest,Sea_Depth_meters,species,title_abbrev,tmn_0m,total_ind,Vessel,ZF_PF_no_
9,21/03/1876,-24.06666667,-15.11666667,83830.7016,11.33655,373.3252,5271452,-21.25,-14.03333,1,Atlantic,181.1254952,0.026515152,0.026515152,-3740,menardii,G. menardii,22.5,33,HMS Challenger,5751
2,15/02/1958,-9.883333333,-110.6833333,464210.6796,13.04809,882.37509,5271451,-9.88333,-110.68333,6,Pacific,438.3641808,0.074090506,0.05914718,-2712,menardii,G. menardii,24.774,8,RV Spencer F. Baird,5750
6,15/02/1958,-9.883333333,-110.6833333,598749.8364,13.3026,975.17174,5271451,-9.88333,-110.68333,6,Pacific,438.3641808,0.074090506,0.05914718,-2712,menardii,G. menardii,24.774,8,RV Spencer F. Baird,5750
15,21/03/1876,-24.06666667,-15.11666667,242585.8416,12.39911,618.06483,5271452,-21.25,-14.03333,1,Atlantic,181.1254952,0.026515152,0.026515152,-3740,menardii,G. menardii,22.5,33,HMS Challenger,5751
1,15/02/1958,-9.883333333,-110.6833333,400182.768,12.89968,815.26775,5271451,-9.88333,-110.68333,6,Pacific,438.3641808,0.074090506,0.05914718,-2712,menardii,G. menardii,24.774,8,RV Spencer F. Baird,5750
10,21/03/1876,-24.06666667,-15.11666667,98914.104,11.50201,443.7375,5271452,-21.25,-14.03333,1,Atlantic,181.1254952,0.026515152,0.026515152,-3740,menardii,G. menardii,22.5,33,HMS Challenger,5751
3,15/02/1958,-9.883333333,-110.6833333,500281.7112,13.12293,947.03222,5271451,-9.88333,-110.68333,6,Pacific,438.3641808,0.074090506,0.05914718,-2712,menardii,G. menardii,24.774,8,RV Spencer F. Baird,5750
14,21/03/1876,-24.06666667,-15.11666667,172001.376,12.05526,544.77114,5271452,-21.25,-14.03333,1,Atlantic,181.1254952,0.026515152,0.026515152,-3740,menardii,G. menardii,22.5,33,HMS Challenger,5751
23,21/03/1876,-24.06666667,-15.11666667,307379.2392,12.63584,695.07422,5271452,-21.25,-14.03333,1,Atlantic,181.1254952,0.026515152,0.026515152,-3740,menardii,G. menardii,22.5,33,HMS Challenger,5751
4,15/02/1958,-9.883333333,-110.6833333,572616.81,13.25797,961.75535,5271451,-9.88333,-110.68333,6,Pacific,438.3641808,0.074090506,0.05914718,-2712,menardii,G. menardii,24.774,8,RV Spencer F. Baird,5750
